row_type,task,arm,seeds,final_in_distribution_accuracy_mean,final_in_distribution_accuracy_std,final_in_distribution_exact_sequence_accuracy_mean,final_in_distribution_exact_sequence_accuracy_std,longer_length_accuracy_mean,longer_length_accuracy_std,longer_length_exact_sequence_accuracy_mean,longer_length_exact_sequence_accuracy_std,runtime_seconds_mean,runtime_seconds_std,threshold_0_90_successes,threshold_0_90_step_mean_reached,threshold_0_90_step_std_reached,threshold_0_99_successes,threshold_0_99_step_mean_reached,threshold_0_99_step_std_reached,panel,token_accuracy_mean,token_accuracy_std,token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,exact_sequence_accuracy_ci95,metric,first_arm,second_arm,role,mean_difference,std_difference,ci95,first_wins,ties,second_wins
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.0052734375,0.11304545985819957,"[-0.05818034129379209, 0.047633466293792094]",10,1,9
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.1349609375,0.1080785104436413,"[0.08437863758817092, 0.18554323741182904]",18,0,2
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.020743439810090962,0.02293027513570611,"[0.010011740703450627, 0.031475138916731295]",17,1,2
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.016415327448015996,0.02650920743095276,"[-0.028822018428426622, -0.0040086364676053705]",4,0,16
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.037158767258106955,0.026019208753002086,"[0.02498140271810305, 0.04933613179811086]",17,0,3
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.0017578125,0.005144118253988699,"[-0.000649708951184837, 0.004165333951184837]",8,8,4
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.000390625,0.0028054095564828433,"[-0.0017035970883368758, 0.0009223470883368757]",3,13,4
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.0021484375,0.005144118253988699,"[-0.00025908395118483685, 0.004555958951184837]",6,11,3
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.04689941406249999,0.04089627984279436,"[0.027759365927167646, 0.06603946219783234]",17,0,3
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.011295572916666663,0.05212008601673888,"[-0.03568852403624903, 0.013097378202915701]",6,0,14
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.058194986979166655,0.04319921135796022,"[0.037977133717742514, 0.0784128402405908]",19,0,1
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.066552734375,0.06288691768836574,"[0.037120750921618005, 0.095984717828382]",16,0,4
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.00703125,0.05678718561019852,"[-0.03360847096550936, 0.01954597096550936]",9,0,11
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_3,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.073583984375,0.05699599537118307,"[0.046909037433149156, 0.10025893131685083]",19,0,1
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.0241455078125,0.02711614662186485,"[0.011454760546922795, 0.03683625507807721]",15,0,5
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.013818359375,0.02935738187916311,"[-0.027558037029164886, -7.868172083511614e-05]",4,0,16
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.0379638671875,0.02701259079281978,"[0.02532158554178445, 0.05060614883321555]",18,0,2
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.00341796875,0.003701728532078709,"[0.00168550646833838, 0.00515043103166162]",18,0,2
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.001220703125,0.0038788486920651394,"[-0.0030360601932023414, 0.0005946539432023412]",7,1,12
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,fixed_block_length_4,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.004638671875,0.004165856801348319,"[0.002688990876894321, 0.0065883528731056785]",16,3,1
