row_type,task,init_mode,clip_mode,activation,runs,successful_runs,failed_runs,nonfinite_failures,failure_steps,gradient_norm_mean,gradient_norm_max_mean,clip_bind_fraction_mean,panel,finite_evaluations,nonfinite_evaluations,token_accuracy_mean,token_accuracy_std,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,logit_rms_mean,logit_rms_std,logit_max_abs_mean,logit_max_abs_std,contrast,metric,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,identity_wins,ties,tanh_wins
evaluation_panel,delayed_copy,orthogonal,no_clip,tanh,20,,,,,,,,stress_lengths_8_10,20,0,0.30146800682708164,0.026464766253558095,0.0,0.0,0.7833895659642957,0.028883178048280486,0.9999999403953552,1.981586117161419e-07,3.808336527130075,0.36799185189179795,16.593318223953247,3.0098320633609825,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,no_clip,identity,20,,,,,,,,in_distribution,20,0,0.9173692262332852,0.055199930128430504,0.7927734375,0.1269664087179857,3.85632132184031,0.8054655854500135,36.44895029067993,9.892772344823534,4.8643368691522575,1.4948205488461013,34.86326975822449,13.947216569583318,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,no_clip,identity,20,,,,,,,,longer_lengths,20,0,0.47652541397687287,0.03802220437553459,0.034765625,0.02782125361210997,7.378591328906936,1.626903298085832,96.74057807922364,35.50656733605925,9.232593622747325,2.5253935846443305,93.47517013549805,42.06040971510462,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,no_clip,identity,20,,,,,,,,stress_lengths_8_10,20,0,0.25401190369666776,0.022975897563324434,0.0,0.0,34.10080059032059,17.604069460892067,605.5690689086914,379.64155869724124,43.60010627199463,21.97536041537495,542.1509963989258,293.73035848516224,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,tanh,20,,,,,,,,in_distribution,20,0,0.8053538970147462,0.04297825419722102,0.36953125,0.11489954002029339,0.8595548532542321,0.021394830992806025,1.0,0.0,5.276289775900447,0.6008317541390759,27.010124683380127,8.288993692291543,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,tanh,20,,,,,,,,longer_lengths,20,0,0.5254116510116653,0.016834969010743522,0.003125,0.0029991089685543534,0.8705486988892943,0.021223635904787305,1.0,0.0,4.778512106529193,0.5463756771259363,26.996183013916017,8.19322216122094,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,tanh,20,,,,,,,,fixed_block_length_3,20,0,0.7373779296875,0.03975489396865103,0.1447265625,0.062498875658061184,0.8606000176185673,0.02119674826054832,1.0,0.0,5.151987225204519,0.5837972096363637,27.691245460510252,8.874700468820704,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,tanh,20,,,,,,,,fixed_block_length_4,20,0,0.57410888671875,0.01968782407132186,0.008447265625,0.0037792231639333556,0.8662205242789056,0.02135352692637769,1.0,0.0,4.871176091703244,0.5423376728289682,27.64868507385254,8.937453477994088,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,tanh,20,,,,,,,,stress_fixed_block_length_6,20,0,0.427294921875,0.01453023052399389,0.0,0.0,0.8743131673911001,0.02154297857131211,1.0,0.0,4.559498653423213,0.5036044146728622,27.090517616271974,8.632047596085355,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,identity,20,,,,,,,,in_distribution,20,0,0.9727484618009968,0.013986697693200155,0.8779296875,0.0588041043169515,3.825941654277781,0.7676082585833407,37.20491876602173,14.371764489587118,9.08062987608725,1.953932186831528,61.33240566253662,17.06736831173194,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,identity,20,,,,,,,,longer_lengths,20,0,0.5250918964323665,0.02516976076758149,0.0064453125,0.006114248375975987,5.851674461242849,1.3701244494697753,71.18612594604492,21.880528247990064,12.177748682862346,3.101016259136832,98.56829299926758,28.374556064982105,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,identity,20,,,,,,,,fixed_block_length_3,20,0,0.95009765625,0.021906685249544026,0.74267578125,0.10140843617445686,3.49284995177477,0.4888611293572106,35.36466121673584,11.880833924417312,8.943447785602656,2.0889523968608894,67.86755275726318,21.9819114590743,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,identity,20,,,,,,,,fixed_block_length_4,20,0,0.638592529296875,0.02682514650851494,0.0189453125,0.007815069478773634,4.299945277825317,0.7718185557392839,51.25182447433472,17.345548629036138,10.073675628132992,2.432833258346989,84.85146217346191,26.6848558132766,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,clip_1.0,identity,20,,,,,,,,stress_fixed_block_length_6,20,0,0.3414388020833333,0.022307248052904606,0.0,0.0,7.693785143185676,2.278068764549747,127.10796871185303,72.14158046577572,15.114634147778288,4.942593618379332,162.71050643920898,67.38652985658013,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,tanh,20,,,,,,,,in_distribution,20,0,0.7679279035774497,0.040716067734889845,0.2810546875,0.09331618206405755,0.8612873538134567,0.01987640869287133,1.0,0.0,4.961078355374053,0.6556786966675902,24.712190341949462,7.1029852266625335,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,tanh,20,,,,,,,,longer_lengths,20,0,0.5038619642281353,0.02079503020941782,0.0021484375,0.003465004720011785,0.8743109911774163,0.02048858995556367,1.0,0.0,4.46117046306497,0.6447306631427575,24.477148151397706,6.77982892237213,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,tanh,20,,,,,,,,fixed_block_length_3,20,0,0.6977783203125,0.045159807304566875,0.0939453125,0.053113358583239456,0.8632685117406782,0.019080873075777983,1.0,0.0,4.838597496431577,0.5940291696071816,25.188646411895753,6.869770581843386,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,tanh,20,,,,,,,,fixed_block_length_4,20,0,0.551708984375,0.02520011442097921,0.005712890625,0.0039860652334324466,0.8698214868193525,0.01947802456126509,1.0,0.0,4.561001725293971,0.590244424082332,25.171811676025392,6.770429823671802,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,tanh,20,,,,,,,,stress_fixed_block_length_6,20,0,0.4183268229166667,0.017067728289202697,0.0,0.0,0.8783974542317763,0.02009489535876626,1.0,0.0,4.247374645243125,0.5868942217530808,24.429644298553466,6.6277276164728445,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,identity,20,,,,,,,,in_distribution,20,0,0.8098405500481698,0.07793928898475516,0.379296875,0.18524159009317187,2.9803689832534244,0.7597032109317504,35.13850784301758,12.888047194949632,4.097567099783399,1.2170543793619932,28.56166281700134,9.882128145327695,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,identity,20,,,,,,,,longer_lengths,20,0,0.44933445870882077,0.03422554162902806,0.0009765625,0.002798243747700699,5.368561204891253,1.5990580977696025,84.45889244079589,40.4211070862301,6.436339463538093,1.894589408040183,63.455107593536376,31.501473332264627,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,identity,20,,,,,,,,fixed_block_length_3,20,0,0.7565185546875,0.07735751395343304,0.1880859375,0.12418355837878865,2.5817742775232375,0.6153687099704254,29.14808120727539,8.48763966765407,3.924849858744284,1.2195520351415143,29.572559595108032,9.713204873521889,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,identity,20,,,,,,,,fixed_block_length_4,20,0,0.53348388671875,0.0440181391967795,0.003369140625,0.002602613554821014,3.462677879679675,0.8435336276855989,49.23432092666626,20.066281170022336,4.660834169552147,1.3448381381577772,43.2370945930481,16.84267878833972,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,no_clip,identity,20,,,,,,,,stress_fixed_block_length_6,20,0,0.3206298828125,0.024672453619308622,0.0,0.0,9.180291212858286,4.701369171400215,197.44663047790527,202.96577279366954,10.17219263183081,4.262446699714231,139.72589149475098,121.14706613672045,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,tanh,20,,,,,,,,in_distribution,20,0,0.9728160282401668,0.017208249604001667,0.876953125,0.0727212145896782,0.46569433827210627,0.03427428956661353,0.9987274229526519,0.0014856100110314113,4.646364962230155,0.665561910582979,20.098767614364625,3.3568108845329556,,,,,,,,,,,
