row_type,task,activation,runs,successful_runs,failed_runs,nonfinite_failures,threshold_0_90_successes,threshold_0_90_step_mean_reached,threshold_0_99_successes,threshold_0_99_step_mean_reached,pre_clip_gradient_norm_mean_mean,pre_clip_gradient_norm_mean_std,pre_clip_gradient_norm_max_mean,pre_clip_gradient_norm_max_std,clip_bind_fraction_mean,clip_bind_fraction_std,runtime_seconds_mean,panel,token_accuracy_mean,token_accuracy_std,token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,exact_sequence_accuracy_ci95,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_rms_ci95,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,recurrent_state_max_abs_ci95,logit_rms_mean,logit_rms_std,logit_rms_ci95,logit_max_abs_mean,logit_max_abs_std,logit_max_abs_ci95,comparison_type,metric,baseline,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,activation_wins,ties,tanh_wins,both_success,activation_only_success,tanh_only_success,neither_success,joint_success_seed_ids
evaluation_panel,two_palindrome,relu,20,20,,,,,,,,,,,,,,in_distribution,0.8532603228579128,0.054292212003356884,"[0.827851077507044, 0.8786695682087815]",0.440625,0.18877036749642895,"[0.35227876385117907, 0.5289712361488209]",5.647291315902278,0.9971824999442982,"[5.1806009036731595, 6.113981728131396]",76.26517810821534,28.158684915064523,"[63.08665936006704, 89.44369685636363]",8.675901222427823,1.533964280889936,"[7.957992090816251, 9.393810354039395]",59.33533477783203,25.39165604989248,"[47.451810518465024, 71.21885903719904]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,relu,20,20,,,,,,,,,,,,,,longer_lengths,0.4818366724707583,0.03987113085121424,"[0.4631766232881526, 0.500496721653364]",0.0009765625,0.0017353971028098408,"[0.00016438098925669836, 0.0017887440107433017]",7.938309735860619,2.457807895579675,"[6.788033452399835, 9.088586019321403]",163.15025024414064,82.04085551370522,"[124.75438922425775, 201.54611126402352]",11.13970010379369,5.734935276630158,"[8.45569862110888, 13.8237015864785]",127.807958984375,91.48510075075336,"[84.99210593382865, 170.62381203492134]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,relu,20,20,,,,,,,,,,,,,,fixed_block_length_3,0.80634765625,0.04679529503937742,"[0.7844470357181214, 0.8282482767818787]",0.23115234375,0.12817373267148702,"[0.17116587974692887, 0.2911388077530711]",5.177008444952346,0.8294095111334926,"[4.788837306089336, 5.565179583815356]",69.59665222167969,22.38508168144524,"[59.12023190916947, 80.0730725341899]",8.412966130761669,1.2679604102581925,"[7.819549212006423, 9.006383049516915]",59.02962760925293,21.40787388673903,"[49.01054936659494, 69.04870585191091]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,relu,20,20,,,,,,,,,,,,,,fixed_block_length_4,0.572821044921875,0.039106333883903784,"[0.5545189276243211, 0.591123162219429]",0.00654296875,0.005010661754102085,"[0.004197933814375676, 0.008888003685624323]",6.06788221456972,1.2065360446917417,"[5.503212453419748, 6.632551975719692]",107.25278854370117,47.071354840402215,"[85.22296953276032, 129.28260755464203]",8.841990211029072,1.6368743236600443,"[8.075918250361052, 9.608062171697092]",84.58518142700196,48.10545139342262,"[62.07139589374372, 107.09896696026019]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,20,,,,,,,,,,,,,,in_distribution,0.9727484618009968,0.013986697693200155,"[0.9662025610129984, 0.9792943625889953]",0.8779296875,0.0588041043169515,"[0.8504088358144006, 0.9054505391855994]",3.825941654277781,0.7676082585833407,"[3.4666940595308358, 4.185189249024726]",37.20491876602173,14.371764489587118,"[30.478803241050244, 43.93103429099321]",9.08062987608725,1.953932186831528,"[8.166171973154652, 9.99508777901985]",61.33240566253662,17.06736831173194,"[53.344723213723796, 69.32008811134945]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,20,,,,,,,,,,,,,,longer_lengths,0.5224932950725354,0.02583801439081938,"[0.5104008710800295, 0.5345857190650413]",0.00625,0.005132395979154581,"[0.0038479923480721763, 0.008652007651927824]",5.901153915640562,1.4567379237474343,"[5.219387416347348, 6.582920414933777]",73.95617427825928,32.01640466210895,"[58.972207862193486, 88.94014069432508]",12.207118343870851,3.254603431996971,"[10.683934556143114, 13.730302131598588]",99.31865673065185,35.20965411293313,"[82.84022074393195, 115.79709271737175]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,20,,,,,,,,,,,,,,fixed_block_length_3,0.9500325520833334,0.022478621887827354,"[0.9395123541097843, 0.9605527500568825]",0.74208984375,0.1036662667697629,"[0.693573095034758, 0.790606592465242]",3.496146106726225,0.48183105528004816,"[3.270644823033423, 3.7216473904190273]",36.66255121231079,11.751437395547532,"[31.162772422852385, 42.16233000176919]",8.983839179110465,2.1106344224276867,"[7.996043215259548, 9.97163514296138]",68.46877689361573,21.76714509447106,"[58.2815564823498, 78.65599730488165]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,20,,,,,,,,,,,,,,fixed_block_length_4,0.6384521484375,0.025905670297092204,"[0.6263280608700819, 0.6505762360049181]",0.0203125,0.009353988927779406,"[0.015934748736880333, 0.02469025126311967]",4.299275692169731,0.7541033688577955,"[3.946348507732308, 4.652202876607154]",50.66205883026123,18.282126183111778,"[42.10585873118429, 59.21825892933817]",10.062850199895376,2.375460762374197,"[8.951113118179205, 11.174587281611547]",85.15756645202637,29.059849053607056,"[71.55729475160905, 98.7578381524437]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,softsign,20,20,,,,,,,,,,,,,,in_distribution,0.7533994523495149,0.04593757735793361,"[0.7319002514357618, 0.774898653263268]",0.256640625,0.07703912298295947,"[0.22058561995860043, 0.2926956300413996]",0.5978100478810889,0.022220894578135145,"[0.5874104686151582, 0.6082096271470196]",0.9543333053588867,0.008645749183816862,"[0.9502870166897108, 0.9583795940280626]",5.125323548951339,0.7692139811591436,"[4.765324461542951, 5.485322636359728]",31.532957220077513,12.888332492364285,"[25.50110126177157, 37.56481317838345]",,,,,,,,,,,,,,,,,
evaluation_panel,two_palindrome,softsign,20,20,,,,,,,,,,,,,,longer_lengths,0.48664179499358995,0.02626702832826294,"[0.4743485886053554, 0.4989350013818245]",0.001953125,0.0026884656312956457,"[0.0006948988139174449, 0.003211351186082555]",0.6051878682020994,0.02112713053864193,"[0.5953001803808149, 0.6150755560233838]",0.9542592763900757,0.008324392472249158,"[0.9503633855630226, 0.9581551672171288]",4.564855218084492,0.6187735189125028,"[4.275263625137495, 4.854446811031489]",31.408937788009645,12.950488435951257,"[25.347992286980364, 37.469883289038926]",,,,,,,,,,,,,,,,,
